task_id	phenotype	outcome_type	n	seed	work	resource_class
1	pain_burden	continuous	42000	1101	5	small
2	fatigue_score	continuous	38000	1102	5	small
3	depression_score	continuous	46000	1103	6	medium
4	anxiety_score	continuous	41000	1104	5	small
5	sleep_disruption	continuous	52000	1105	8	large
6	fibromyalgia_code	binary	48000	1106	7	medium
7	migraine_code	binary	50000	1107	8	large
8	chronic_pain_code	binary	35000	1108	4	small
9	opioid_exposure	binary	44000	1109	6	medium
10	antidepressant_exposure	binary	39000	1110	5	small
11	insomnia_code	binary	51000	1111	8	large
12	back_pain_code	binary	37000	1112	5	small
13	neck_pain_code	binary	36000	1113	5	small
14	osteoarthritis_code	binary	49000	1114	7	medium
15	rheumatoid_arthritis_code	binary	47000	1115	7	medium
16	asthma_code	binary	40000	1116	5	small
17	hypertension_code	binary	52000	1117	8	large
18	hyperlipidemia_code	binary	50000	1118	7	medium
19	obesity_code	binary	51000	1119	8	large
20	bmi	continuous	48000	1120	7	medium
21	crp_level	continuous	32000	1121	4	small
22	smoking_exposure	binary	43000	1122	6	medium
23	coronary_disease_code	binary	49000	1123	7	medium
24	diabetes_code	binary	50000	1124	6	medium
